id,age,gender,education,employment_type,annual_income,loan_amount,loan_term,purpose,home_ownership,dependents
1,59,Female,Master,Business,84482,117831,48,Home,Owned,1
2,49,Male,Diploma,Self-Employed,89192,126889,24,Home,Owned,0
3,35,Female,Diploma,Self-Employed,107154,86583,12,Car,Owned,4
4,63,Female,Bachelor,Business,106066,37160,48,Education,Mortgaged,4
5,28,Female,Master,Salaried,238480,104011,12,Personal,Owned,0
6,41,Female,Diploma,Business,179402,10277,24,Car,Owned,3
7,59,Female,Bachelor,Self-Employed,167211,137852,60,Car,Rented,5
8,39,Male,Diploma,Salaried,148514,122101,48,Education,Owned,3
9,43,Male,Master,Self-Employed,52977,65750,24,Home,Rented,4
10,31,Female,High School,Salaried,24983,61902,12,Car,Rented,2
11,31,Male,Master,Self-Employed,190981,121849,36,Home,Owned,2
12,44,Female,Master,Business,215552,102052,48,Home,Owned,3
13,56,Female,Diploma,Self-Employed,69029,132894,12,Education,Rented,2
14,60,Male,Diploma,Self-Employed,172401,144872,12,Car,Mortgaged,3
15,44,Male,Master,Salaried,142668,54460,24,Personal,Rented,1
16,23,Male,Bachelor,Self-Employed,187806,134424,12,Car,Mortgaged,3
17,42,Male,Bachelor,Business,62837,75975,48,Personal,Mortgaged,1
18,22,Male,Bachelor,Business,225426,138436,48,Personal,Owned,5
19,44,Female,Diploma,Business,227526,21568,12,Home,Owned,4
20,64,Male,Diploma,Salaried,137512,67679,24,Personal,Owned,2
21,50,Male,Master,Salaried,86786,70781,48,Education,Owned,5
22,58,Male,High School,Self-Employed,24758,13430,36,Car,Rented,5
23,22,Female,Diploma,Self-Employed,122667,43692,60,Home,Mortgaged,4
24,41,Male,Master,Self-Employed,218771,35086,24,Home,Rented,0
25,53,Female,Master,Salaried,128119,54671,24,Personal,Mortgaged,0
26,32,Male,High School,Salaried,120157,149973,60,Home,Rented,5
27,42,Male,Bachelor,Self-Employed,102673,8907,60,Education,Mortgaged,5
28,64,Female,Master,Salaried,117639,33604,48,Education,Owned,4
29,45,Male,Master,Salaried,172904,42869,12,Home,Mortgaged,3
30,47,Male,Master,Business,152940,148573,12,Home,Owned,3
31,62,Female,Bachelor,Business,134869,124261,36,Education,Mortgaged,2
32,48,Male,Bachelor,Self-Employed,201737,119639,12,Personal,Rented,4
33,36,Female,High School,Self-Employed,192934,116690,36,Home,Mortgaged,0
34,35,Female,Diploma,Business,39728,130592,36,Personal,Rented,4
35,64,Female,Bachelor,Salaried,123542,11073,24,Home,Rented,4
36,23,Female,Diploma,Self-Employed,113565,23101,24,Education,Owned,2
37,57,Female,Diploma,Self-Employed,190929,99877,48,Home,Mortgaged,3
38,27,Male,Bachelor,Self-Employed,179255,12313,60,Home,Rented,5
39,41,Male,Master,Salaried,239393,64668,60,Home,Mortgaged,0
40,29,Male,High School,Business,170012,96956,36,Education,Owned,2
41,59,Female,Diploma,Self-Employed,145019,120087,60,Education,Owned,0
42,38,Female,Master,Business,156352,124451,36,Education,Mortgaged,0
43,24,Female,Bachelor,Business,122548,97675,60,Car,Rented,3
44,45,Female,Diploma,Salaried,153236,96634,48,Car,Rented,5
45,34,Male,Diploma,Salaried,141289,149654,24,Car,Rented,5
46,29,Male,Diploma,Salaried,243796,114119,24,Car,Mortgaged,3
47,46,Female,Master,Salaried,149068,149832,36,Education,Rented,2
48,22,Female,Master,Salaried,99624,76791,60,Home,Rented,1
49,40,Male,Master,Salaried,169477,87158,12,Education,Rented,2
50,48,Female,Diploma,Self-Employed,22821,34715,48,Car,Owned,2
51,27,Female,Diploma,Business,75090,93260,60,Personal,Rented,1
