id,bureau_score,num_of_accounts,num_of_open_accounts,total_debt,delinquent_accounts
1,838,3,7,162932,3
2,508,8,5,91296,1
3,756,6,6,84132,0
4,398,2,7,12837,1
5,801,3,5,194554,1
6,436,1,1,39992,0
7,486,3,6,140761,0
8,335,4,4,2565,2
9,778,6,3,125542,0
10,354,10,1,25793,4
11,770,7,6,136692,2
12,383,3,7,66200,4
13,305,11,2,26937,2
14,662,7,3,111712,2
15,469,4,4,123227,4
16,548,1,4,126038,3
17,509,1,7,60400,3
18,543,8,7,46277,1
19,440,10,2,26372,3
20,479,7,3,137028,1
21,316,4,5,193466,3
22,315,1,3,12911,1
23,684,6,3,114771,1
24,640,11,4,82232,0
25,345,11,2,52403,1
26,803,10,3,138742,4
27,442,7,1,60844,4
28,584,6,1,64137,1
29,654,6,7,24473,4
30,824,8,2,48298,3
31,856,6,5,22345,4
32,346,2,6,26608,0
33,827,7,3,176876,4
34,406,10,6,102488,3
35,302,4,3,107835,3
36,394,11,4,11286,1
37,432,11,3,148944,2
38,500,3,6,174377,3
39,553,8,5,173822,1
40,482,10,3,90185,1
41,449,5,3,45476,4
42,848,4,7,177220,4
43,789,11,4,121059,1
44,804,4,1,104581,0
45,712,5,1,94567,1
46,807,4,7,185631,4
47,703,3,5,74477,3
48,535,4,2,152055,0
49,895,10,2,47016,2
50,844,5,4,17260,3
51,841,2,6,88576,4
52,733,7,6,166113,3
53,845,5,3,198146,3
54,507,9,4,45713,4
55,439,6,6,70748,3
56,887,11,1,159262,1
57,886,1,7,99789,0
58,606,9,5,149842,4
59,869,5,2,51201,0
60,397,9,7,100087,1
61,424,1,3,12251,4
62,648,2,7,124499,1
63,433,3,2,129356,2
64,525,5,1,164227,2
65,848,6,3,63939,2
66,867,5,1,9061,0
67,638,1,2,172129,2
68,621,4,2,25408,2
69,386,6,1,128218,1
70,394,4,3,127354,3
71,495,4,1,150260,3
72,491,5,3,154851,2
73,821,8,4,25687,3
74,312,5,4,156286,2
75,553,7,3,128757,2
76,380,8,1,67505,0
77,672,6,7,153318,4
78,693,6,7,165758,3
79,717,2,3,17551,2
80,358,10,2,151777,3
81,427,5,7,61149,0
82,840,1,1,93372,0
83,632,9,6,147874,2
84,581,7,3,128763,3
85,879,2,2,195463,3
86,506,6,5,143103,3
87,571,10,2,56341,0
88,608,9,6,22521,1
89,702,5,3,87894,1
90,474,3,1,26333,3
91,517,11,1,112965,3
92,625,10,4,65731,4
93,552,11,6,169623,2
94,753,4,3,169333,0
95,488,3,2,2973,4
96,742,1,2,11900,3
97,429,10,6,181321,1
98,784,11,3,20460,1
99,302,7,2,93031,4
100,650,8,7,134278,1
101,854,2,5,189354,1
102,432,8,6,197694,2
103,793,9,4,10958,3
104,565,7,1,12383,4
105,323,11,2,128418,0
106,833,1,5,70213,0
107,302,4,3,26257,3
108,726,7,2,81106,0
109,303,6,6,74181,1
110,802,11,3,177248,2
111,531,8,5,79320,4
112,371,6,5,128587,4
113,387,10,7,159117,1
114,827,6,1,140398,3
115,749,10,3,29986,2
116,738,6,4,11437,0
117,831,7,1,106264,4
118,734,5,3,185013,4
119,383,11,7,145228,3
120,638,9,3,28777,2
121,425,7,7,26310,0
122,862,1,5,118786,4
123,317,11,6,151927,4
124,839,9,5,168105,0
125,644,11,3,199576,2
126,767,6,6,106817,2
127,440,11,6,193527,2
128,305,8,5,184368,4
129,840,9,7,106395,1
130,364,11,7,80475,4
131,355,11,7,166064,3
132,395,2,3,172652,3
133,514,2,3,166027,4
134,357,5,6,115694,4
135,791,5,1,159180,0
136,704,10,1,30303,2
137,483,10,4,61866,0
138,581,2,1,59781,3
139,462,10,2,182159,3
140,388,4,2,155654,1
141,396,9,5,91671,2
142,886,4,6,177218,2
143,387,1,2,39405,3
144,817,5,1,26021,0
145,362,2,6,2308,4
146,840,6,4,100720,2
147,490,1,3,120733,4
148,577,7,4,197179,3
149,838,7,1,19289,1
150,384,4,1,58673,3
151,634,9,1,8782,4
152,740,3,5,105406,3
153,471,5,2,21062,2
154,638,5,1,158201,4
155,528,8,3,161788,4
156,478,10,2,102306,1
157,546,10,2,111025,2
158,616,4,5,101869,0
159,585,1,4,134655,1
160,375,11,6,44232,2
161,751,5,2,113411,0
162,503,1,2,23235,4
163,723,3,1,155953,1
164,492,6,3,117502,4
165,592,1,1,70454,4
166,712,10,3,14869,4
167,738,3,2,138583,2
168,600,7,3,146188,0
169,559,2,1,36981,2
170,491,6,1,57909,4
171,570,7,4,198830,1
172,731,2,5,112614,4
173,516,11,4,85433,0
174,390,11,2,128547,2
175,497,5,3,193949,0
176,698,10,1,153308,2
177,338,10,1,112182,0
178,770,1,1,146504,0
179,378,3,6,60895,2
180,393,1,1,29014,2
181,342,3,6,71519,2
182,431,4,2,87058,3
183,376,5,5,18704,0
184,531,4,4,46968,3
185,338,4,6,150822,3
186,865,9,4,193206,4
187,450,9,6,89209,3
188,718,9,1,52527,3
189,485,11,1,126186,2
