id,months_on_book,status,dpd,payment_amount
1,43,Paid,110,7660
2,45,Default,71,12155
3,18,Paid,116,13211
4,14,Paid,94,5369
5,37,Paid,97,7490
6,11,Paid,13,7654
7,4,Paid,67,4676
8,22,Paid,42,3155
9,49,Paid,112,1710
10,46,Paid,28,8825
11,3,Paid,56,7834
12,53,Paid,117,13775
13,24,Paid,102,8317
14,34,Late,32,13948
15,8,Paid,20,7384
16,24,Paid,40,4288
17,16,Default,112,8490
18,6,Paid,0,8510
19,21,Default,26,9278
20,32,Paid,1,3409
21,39,Paid,63,6607
22,22,Paid,50,714
23,47,Late,117,2862
24,9,Paid,106,8545
25,18,Paid,53,2664
26,12,Paid,73,8446
27,6,Late,73,9009
28,27,Paid,29,4559
29,44,Late,0,7525
30,39,Paid,94,570
31,47,Late,98,13394
32,1,Paid,111,3812
33,15,Paid,28,3934
34,14,Default,12,1545
35,57,Paid,72,10777
36,13,Paid,103,1153
37,56,Paid,42,2297
38,21,Paid,40,4833
39,46,Paid,74,8210
40,47,Paid,87,4464
41,53,Late,88,13862
42,41,Paid,118,6006
43,50,Paid,57,12676
44,6,Paid,76,3591
45,20,Paid,13,13946
46,4,Paid,40,2349
47,40,Paid,66,14813
48,19,Paid,53,14565
49,43,Paid,5,8141
50,40,Paid,45,12261
51,10,Paid,76,11880
52,5,Default,0,13454
53,2,Paid,28,6144
54,31,Paid,77,12251
55,44,Paid,75,1016
56,53,Paid,25,12852
57,20,Late,57,13444
58,57,Late,86,2712
59,6,Paid,2,8579
60,43,Paid,59,14469
61,19,Late,13,6991
62,18,Paid,97,3830
63,30,Paid,22,6533
64,7,Paid,61,9628
65,17,Late,9,13810
66,53,Late,3,2792
67,53,Paid,38,7283
68,4,Paid,112,6865
69,3,Paid,73,4307
70,25,Paid,87,7233
71,30,Paid,33,13828
72,36,Late,87,8262
73,14,Late,119,8496
74,41,Paid,24,8354
75,23,Paid,51,13367
76,57,Paid,14,3467
77,50,Late,11,2384
78,50,Paid,0,11170
79,16,Paid,105,14820
80,28,Paid,119,14635
81,12,Paid,8,4589
82,8,Paid,58,13292
83,30,Paid,13,4978
84,41,Paid,104,8510
85,50,Paid,117,12275
86,38,Paid,30,4927
87,46,Paid,87,1338
88,6,Late,119,7222
89,39,Paid,52,5843
90,5,Paid,62,9854
91,3,Late,115,5365
92,10,Paid,9,9988
93,30,Late,105,7325
94,16,Paid,42,624
95,11,Late,17,10772
96,3,Paid,66,13088
97,15,Paid,58,8769
98,44,Paid,75,11044
99,54,Late,98,9821
100,1,Late,107,11271
101,13,Paid,117,4706
102,48,Default,22,4776
103,56,Late,85,2912
104,39,Paid,74,10363
105,39,Paid,45,8442
106,38,Paid,48,11492
107,3,Late,22,4760
108,30,Paid,11,9175
109,44,Late,28,13092
110,41,Paid,88,951
111,26,Default,87,3601
112,11,Paid,58,10535
113,6,Paid,52,9513
114,12,Paid,67,10279
115,16,Late,100,14920
116,54,Paid,62,5470
117,22,Paid,28,9885
118,22,Paid,2,6286
119,38,Paid,94,12534
120,12,Paid,88,2898
121,36,Late,110,9219
122,50,Default,36,10432
123,17,Paid,62,10810
124,40,Paid,22,13758
125,32,Paid,118,14054
126,45,Paid,48,7784
127,37,Late,85,12373
128,3,Paid,92,12317
129,25,Paid,99,2494
130,19,Paid,114,1133
131,37,Paid,76,10451
132,50,Paid,2,11872
133,38,Late,109,4071
134,41,Paid,21,1812
135,49,Paid,112,14864
136,43,Late,116,13650
137,47,Paid,35,2894
138,19,Late,9,11610
139,16,Late,119,10458
140,26,Default,8,7861
141,33,Paid,55,3569
142,15,Paid,54,14331
143,53,Paid,18,2078
144,37,Paid,71,7780
145,20,Paid,32,11170
146,5,Paid,19,7423
147,48,Paid,93,9031
148,40,Paid,34,12827
149,24,Paid,30,7672
150,6,Paid,82,11179
151,12,Paid,49,4059
152,4,Paid,118,12076
153,48,Paid,45,13760
154,43,Paid,77,7009
155,13,Paid,9,14068
156,52,Paid,66,5268
157,47,Paid,118,2735
158,21,Paid,33,11836
159,5,Paid,50,3802
160,13,Paid,91,8725
161,2,Paid,82,5691
162,44,Paid,38,14612
163,6,Paid,89,12247
164,29,Paid,67,4159
165,23,Paid,11,12119
166,35,Default,25,12358
167,10,Late,70,9946
168,20,Paid,66,10376
169,25,Paid,89,7134
170,36,Paid,1,11487
171,10,Paid,11,8868
172,27,Paid,58,13822
173,7,Paid,31,9326
174,50,Late,50,6861
175,21,Paid,101,13944
176,22,Paid,10,6191
177,46,Paid,31,13969
178,18,Paid,63,7221
179,1,Paid,44,10187
180,25,Paid,78,8540
181,55,Paid,53,10883
182,56,Paid,5,8901
183,53,Paid,25,12095
184,21,Late,7,6733
185,49,Paid,7,5631
186,30,Paid,37,7693
187,32,Paid,7,6967
188,35,Late,16,1774
189,47,Paid,102,10981
190,14,Paid,82,3112
191,39,Paid,2,3402
192,42,Paid,40,5704
193,25,Paid,112,9891
194,29,Paid,72,13080
195,40,Paid,52,6613
196,32,Late,109,9760
197,11,Paid,96,13502
198,28,Default,95,5238
199,5,Late,95,11129
200,35,Paid,69,6081
201,25,Paid,112,3961
202,52,Late,112,12352
203,41,Paid,61,10896
204,51,Paid,52,6804
205,7,Paid,58,6148
206,33,Paid,92,2476
207,42,Paid,100,5374
208,27,Paid,80,8501
209,44,Late,113,12565
210,47,Default,82,4818
211,21,Default,94,12511
212,57,Late,82,10863
213,27,Late,22,11544
214,25,Paid,113,13961
215,22,Paid,46,13334
216,11,Paid,34,4474
217,6,Paid,13,11624
218,3,Paid,64,6146
219,30,Paid,112,3959
220,28,Late,96,14667
221,41,Paid,48,3840
222,17,Late,35,8208
223,23,Late,0,5925
224,51,Late,83,4611
225,34,Paid,21,5108
226,21,Paid,34,9749
227,5,Late,2,4949
228,50,Paid,11,6083
229,44,Paid,106,3539
230,56,Default,36,13915
231,15,Paid,57,14100
232,46,Paid,76,642
233,2,Paid,11,1476
234,24,Paid,1,836
235,54,Paid,83,10518
236,10,Paid,64,5288
237,20,Paid,57,13803
238,35,Default,59,6544
239,41,Paid,40,11115
240,47,Paid,34,7871
241,54,Paid,87,14893
242,21,Late,115,2520
243,30,Paid,101,9280
244,29,Paid,89,5658
245,58,Paid,10,2036
246,35,Paid,51,9252
247,51,Paid,51,10048
248,38,Paid,106,843
249,26,Paid,61,7755
250,20,Paid,62,1879
251,36,Paid,14,11640
252,43,Late,69,5546
253,40,Paid,39,1345
254,18,Paid,8,4153
255,22,Paid,113,12149
256,13,Paid,69,13152
257,15,Paid,16,9962
258,16,Late,22,9189
259,25,Late,57,5431
260,3,Paid,94,5682
261,5,Default,79,6211
262,27,Paid,50,3415
263,39,Paid,56,3566
264,33,Paid,85,5859
265,40,Paid,15,10312
266,38,Paid,44,11844
267,4,Paid,60,7734
268,43,Paid,11,3147
269,38,Paid,72,7609
270,50,Paid,5,14150
271,52,Late,3,9813
272,56,Paid,101,8174
273,52,Paid,80,2505
274,53,Paid,119,14305
275,2,Late,73,6390
276,19,Paid,103,1178
277,51,Paid,34,3018
278,18,Late,46,11006
279,56,Paid,84,10451
280,11,Default,116,1890
281,35,Paid,18,5905
282,11,Paid,26,7461
283,33,Paid,10,10199
284,2,Paid,69,3126
285,56,Paid,58,4259
286,1,Late,40,12379
287,33,Paid,42,4379
288,13,Paid,27,14551
289,27,Late,62,9987
290,1,Paid,66,1683
291,42,Paid,104,5463
292,29,Paid,44,2777
293,45,Late,23,12377
294,40,Paid,100,13285
295,22,Paid,76,7615
296,39,Paid,63,12315
297,20,Paid,78,10945
