id,num_loans,num_defaults,total_loan_amount,total_repaid_amount,avg_dpd
1,5,0,162221,253307,33
2,9,1,411152,199231,85
3,2,1,140633,33697,29
4,9,0,37992,87463,18
5,3,1,265337,288373,61
6,0,1,461402,283880,61
7,5,3,311120,331230,37
8,1,0,423349,175449,29
9,3,2,413235,381506,31
10,4,3,352592,264436,82
11,4,0,191859,293002,24
12,3,3,324940,140143,86
13,2,0,134558,363001,11
14,3,1,281978,235145,8
15,2,2,105201,258075,36
16,2,3,302761,320770,16
17,3,1,169581,201337,34
18,8,0,146205,141344,59
19,8,3,341580,177507,3
20,7,2,476232,268121,40
21,3,2,439329,163824,67
22,1,3,41825,383655,87
23,8,1,433798,243326,2
24,5,2,282518,186146,8
25,7,3,108873,70314,10
26,3,3,184892,27104,60
27,7,3,256982,82608,20
28,5,0,373650,201981,24
29,5,2,116161,154009,84
30,5,3,218996,314750,61
31,8,0,181083,351643,83
32,0,0,31862,88814,23
33,0,0,108209,361322,68
34,4,1,9944,281454,40
35,0,1,248908,369588,56
36,9,3,44072,95120,65
37,8,1,497018,280272,8
38,3,2,437299,53035,7
39,1,2,175840,199856,57
40,2,3,428046,31149,70
41,8,3,457468,9553,37
42,7,2,114518,118014,19
43,2,3,240315,81222,46
44,7,3,258196,390331,78
45,3,3,17319,133230,27
46,5,1,173230,177971,59
47,3,3,117205,30179,21
48,4,3,477595,32204,50
49,9,0,481687,149400,23
50,8,0,116773,38881,72
51,1,3,247792,120538,60
52,8,1,443162,359072,1
53,2,0,366173,5803,88
54,4,0,402897,31603,75
55,6,3,273871,209628,54
56,1,1,99940,130550,3
57,3,3,140501,217750,57
58,0,0,379474,218546,12
59,2,1,261925,194335,26
60,5,3,355944,16456,29
61,1,2,42225,241794,61
62,7,0,325417,307899,64
63,6,3,71470,312299,10
64,2,1,341944,393944,86
65,0,2,86508,131696,48
66,9,3,37119,398970,16
67,3,3,107889,13477,14
68,3,0,41580,333743,26
69,4,3,300784,144016,9
70,2,2,226482,64615,79
71,1,3,56758,275011,27
72,1,0,191042,297524,1
73,7,2,467020,114095,34
74,6,2,213638,398745,14
75,0,0,271128,382553,58
76,8,1,389018,213092,74
77,2,2,125749,156859,32
78,2,1,28924,167080,54
79,0,2,461503,309811,79
80,3,2,291913,201930,74
81,9,0,347413,72499,83
82,1,3,392507,8153,51
83,2,2,318947,206478,18
84,0,3,482571,380292,38
85,2,2,113878,160929,86
86,3,1,59677,103722,59
87,5,3,185591,390958,9
88,2,1,299377,143550,71
89,5,3,286137,226868,65
90,1,3,143687,87090,55
91,7,1,487258,33152,6
92,4,0,34409,139867,89
93,0,1,340625,298299,39
94,5,0,478596,381464,18
95,2,0,425535,281894,69
96,3,3,23273,11478,10
97,9,1,161175,397997,51
98,7,2,119468,82382,11
99,7,2,56299,187216,61
100,7,1,364920,106529,72
101,4,2,262516,27233,22
102,0,0,387390,124604,39
103,8,1,291997,75624,69
104,8,0,252161,275673,49
105,7,3,264359,263219,63
106,2,1,116019,98984,18
107,5,2,395736,360319,83
108,6,2,218320,102906,17
109,3,0,333703,264801,26
110,9,3,439939,382837,72
111,6,2,130619,314167,43
112,8,2,316328,125411,57
113,5,3,52223,340615,61
114,1,0,106472,38637,49
115,5,0,70921,234584,52
116,2,3,131989,15828,60
117,6,3,306668,361797,74
118,2,0,90308,349924,49
119,7,1,429672,200698,53
120,4,0,93384,301760,41
121,2,1,98934,52416,58
122,0,1,320477,133595,7
123,4,1,73125,91825,13
124,9,0,262306,201104,12
125,9,3,64168,187036,70
126,2,1,33468,62850,78
127,3,3,340951,242771,43
128,9,3,267537,314223,42
129,3,2,300578,146512,17
130,2,3,492076,337160,35
131,5,0,314121,317842,30
132,5,0,116965,126650,3
133,0,1,188149,278110,76
134,3,0,78514,7045,38
135,0,1,285786,63797,54
136,6,0,261402,334843,18
137,6,1,127226,105765,67
138,5,0,372714,356790,64
139,1,0,318610,351423,39
140,3,1,260027,199231,75
141,2,3,445957,60614,75
142,7,2,454657,351275,83
143,1,0,168871,86582,74
144,9,3,219012,171322,29
145,1,2,260311,334458,27
146,0,2,478040,148823,48
147,8,0,248484,305674,40
148,2,3,206171,245371,85
149,7,0,38059,134102,48
150,6,1,308703,323558,28
151,0,1,201778,95566,0
152,5,2,11511,295184,84
153,7,1,261307,14945,30
154,5,3,189116,112004,26
155,8,1,216011,142710,34
156,9,1,356364,194055,7
157,2,3,227290,249460,39
158,5,3,361527,8558,57
159,9,1,401146,291681,71
160,3,3,460575,273181,5
161,9,0,204547,22007,14
162,2,1,178949,184561,20
163,7,2,283639,298208,36
164,6,3,117384,273567,69
165,6,3,54506,25229,53
166,4,0,256649,287772,28
167,0,0,291601,388153,57
168,5,2,106946,43529,88
169,5,0,187533,45884,86
170,2,0,36335,399420,86
171,4,2,119405,83638,18
172,8,1,31323,181794,33
173,6,0,80090,219654,57
174,7,1,233015,86884,70
175,8,2,479531,4074,12
176,5,0,421815,201897,3
177,4,3,436004,55998,10
178,9,1,232447,295520,49
179,4,2,50992,392080,20
180,4,3,418527,57167,59
181,3,0,244999,378661,20
182,1,0,271568,247452,42
183,6,1,98727,32711,44
184,6,0,40687,399712,41
185,7,3,83588,348680,25
186,7,1,243340,139992,30
187,7,1,461788,53314,48
188,8,0,236440,3700,67
189,5,2,223647,368076,2
190,3,3,492807,18958,38
191,1,0,439010,16388,47
192,4,2,420343,139264,20
193,5,1,142297,162042,17
194,6,1,393949,137640,34
195,5,0,158093,240714,31
196,3,3,286371,395767,54
197,3,0,273393,300591,10
198,6,0,432667,117308,57
199,0,1,69376,349106,37
200,2,3,127575,185025,45
201,9,0,185370,356259,19
202,1,2,499599,340406,25
203,1,2,303788,13984,10
204,6,3,162372,307348,65
205,4,1,410164,304539,80
206,2,1,335238,358637,87
207,8,3,381814,282892,36
208,8,0,46694,330214,5
209,2,0,222125,212971,53
210,1,2,414089,349334,86
211,2,2,486206,138556,46
